state_id,state_key,action,action_idx,eligibility_infeasible,infeasible_rate,clinical_reason,inferred_probability,threshold_used,inferred_infeasible,match
57,18|2|2|3|0|1|0|0|0,Immuno,1,False,0.0,allowed,0.0,0.16,False,True
57,18|2|2|3|0|1|0|0|0,Chemo,2,False,0.0,allowed,0.0,0.16,False,True
57,18|2|2|3|0|1|0|0|0,Surgery,3,True,1.0,not first-line month,0.5,0.16,True,True
58,24|2|2|3|0|1|0|0|0,Targeted,0,True,1.0,EGFR/ALK not eligible,0.6666666666666666,0.16,True,True
58,24|2|2|3|0|1|0|0|0,Immuno,1,False,0.0,allowed,0.0,0.16,False,True
58,24|2|2|3|0|1|0|0|0,Chemo,2,False,0.0,allowed,0.0,0.16,False,True
58,24|2|2|3|0|1|0|0|0,Surgery,3,True,1.0,not first-line month,0.6666666666666666,0.16,True,True
59,0|3|2|2|0|2|0|0|0,Targeted,0,True,1.0,EGFR/ALK not eligible,0.8333333333333334,0.16,True,True
59,0|3|2|2|0|2|0|0|0,Immuno,1,True,1.0,allowed,0.0,0.16,False,False
59,0|3|2|2|0|2|0|0|0,Chemo,2,True,1.0,ECOG/perf_status > 2,0.0,0.16,False,False
59,0|3|2|2|0|2|0|0|0,Surgery,3,True,1.0,ECOG/perf_status > 2,0.3333333333333333,0.16,True,True
60,6|3|1|2|0|2|0|0|0,Targeted,0,True,1.0,EGFR/ALK not eligible,0.8333333333333334,0.16,True,True
60,6|3|1|2|0|2|0|0|0,Immuno,1,True,1.0,allowed,0.0,0.16,False,False
60,6|3|1|2|0|2|0|0|0,Chemo,2,True,1.0,ECOG/perf_status > 2,0.0,0.16,False,False
60,6|3|1|2|0|2|0|0|0,Surgery,3,True,1.0,not first-line month,0.3333333333333333,0.16,True,True
61,12|3|2|0|1|2|0|0|0,Targeted,0,True,1.0,EGFR/ALK not eligible,0.6666666666666666,0.16,True,True
61,12|3|2|0|1|2|0|0|0,Immuno,1,True,1.0,allowed,0.0,0.16,False,False
61,12|3|2|0|1|2|0|0|0,Chemo,2,True,1.0,ECOG/perf_status > 2,0.0,0.16,False,False
61,12|3|2|0|1|2|0|0|0,Surgery,3,True,1.0,not first-line month,0.5,0.16,True,True
